year,quarter,department,courseNumber,courseCode,instructors,a,b,c,d,f,p,np,w,gpaAvg
2018-19,Summer10wk,AC ENG,20C,20010,"VIMUTTINAN, C.",0,0,0,0,0,12,2,0,0
2018-19,Summer10wk,CBEMS,155,15010,"MAUNG, K.",3,4,5,1,1,0,0,0,2.56
2018-19,Summer10wk,ENGRCEE,150,17050,"ZAREIAN, F.",2,2,6,2,3,0,0,0,1.87
2018-19,Summer10wk,COMPSCI,161,34170,"REGAN, A.; DILLENCOURT, M.",21,10,6,1,0,1,0,0,3.37
2018-19,Summer10wk,IN4MATX,43,36610,"ZIV, H.",29,0,0,0,1,0,0,0,3.64
2018-19,Summer10wk,IN4MATX,191B,36630,"ZIV, H.",13,11,2,0,0,0,0,0,3.46
2018-19,Summer10wk,I&C SCI,10,36525,"DENENBERG, D.",12,1,0,0,0,0,0,0,3.95
2018-19,Summer10wk,I&C SCI,31,36530,"HARRIS, I.",44,12,1,1,1,2,0,0,3.63
2018-19,Summer10wk,I&C SCI,33,36535,"WATKINSON MEDI, N.",11,23,10,0,0,0,0,0,3.02
2018-19,Summer10wk,ENGRMAE,52,19030,"NOROOZI, Z.",8,7,1,2,0,2,0,0,3.13
2018-19,Summer10wk,ENGRMAE,91,19050,"ALBERT, J.",5,13,17,7,2,0,0,0,2.28
2018-19,Summer10wk,ENGRMAE,115,19060,"KALANTARI, A.",15,23,6,3,0,0,0,0,3.06
2018-19,Summer10wk,ENGRMAE,150,19110,"YOUSEFIANI, A.",8,8,16,5,8,0,0,0,2.08
2018-19,Summer10wk,ENGRMAE,150L,19120,"YOUSEFIANI, A.",20,0,0,0,0,0,0,0,4
2018-19,Summer10wk,ENGRMAE,150L,19130,"YOUSEFIANI, A.",23,0,0,0,0,0,0,0,4
2018-19,Summer10wk,ENGRMAE,151,19140,"MINNITI, M.",8,2,2,0,0,0,0,0,3.38
2018-19,Summer10wk,ENGRMAE,156,19150,"MAUNG, K.",8,12,4,1,1,0,0,0,2.9
2018-19,Summer10wk,ENGRMAE,170,19160,"MAGGIA, M.",12,19,14,3,2,0,0,0,2.71
2018-19,Summer10wk,PHYSICS,3LB,47051,"FAUCETT, T.",4,11,3,0,0,0,0,0,3.16
2018-19,Summer10wk,PHYSICS,3LB,47052,"FAUCETT, T.",5,10,2,0,0,0,0,0,3.16
2018-19,Summer10wk,PHYSICS,3LB,47053,"FAUCETT, T.",5,9,3,0,0,0,0,0,3.1
2018-19,Summer10wk,PHYSICS,3LB,47055,"FAUCETT, T.",5,7,3,0,0,0,0,0,3.11
